
The following have been reloaded with a version change:
  1) GCCcore/11.3.0 => GCCcore/12.3.0
  2) GMP/6.2.1-GCCcore-11.3.0 => GMP/6.2.1-GCCcore-12.3.0
  3) Python/3.10.4-GCCcore-11.3.0 => Python/3.11.3-GCCcore-12.3.0
  4) SQLite/3.38.3-GCCcore-11.3.0 => SQLite/3.42.0-GCCcore-12.3.0
  5) Tcl/8.6.12-GCCcore-11.3.0 => Tcl/8.6.13-GCCcore-12.3.0
  6) XZ/5.2.5-GCCcore-11.3.0 => XZ/5.4.2-GCCcore-12.3.0
  7) binutils/2.38-GCCcore-11.3.0 => binutils/2.40-GCCcore-12.3.0
  8) bzip2/1.0.8-GCCcore-11.3.0 => bzip2/1.0.8-GCCcore-12.3.0
  9) libffi/3.4.2-GCCcore-11.3.0 => libffi/3.4.4-GCCcore-12.3.0
 10) libreadline/8.1.2-GCCcore-11.3.0 => libreadline/8.2-GCCcore-12.3.0
 11) ncurses/6.3-GCCcore-11.3.0 => ncurses/6.4-GCCcore-12.3.0
 12) zlib/1.2.12-GCCcore-11.3.0 => zlib/1.2.13-GCCcore-12.3.0

==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
==> Building model..

Epoch: 0
Epoch 000 [  62/391] |lr=0.1 | train_loss=3.6716 | train_acc=10.320
Epoch 000 [  63/391] |lr=0.1 | train_loss=3.6503 | train_acc=10.317
Epoch 000 [  64/391] |lr=0.1 | train_loss=3.6291 | train_acc=10.315
Epoch 000 [  65/391] |lr=0.1 | train_loss=3.6076 | train_acc=10.325
Epoch 000 [  66/391] |lr=0.1 | train_loss=3.5874 | train_acc=10.393
Epoch 000 [  67/391] |lr=0.1 | train_loss=3.5677 | train_acc=10.471
Epoch 000 [  68/391] |lr=0.1 | train_loss=3.5526 | train_acc=10.478
Epoch 000 [  69/391] |lr=0.1 | train_loss=3.5341 | train_acc=10.496
Epoch 000 [  70/391] |lr=0.1 | train_loss=3.5163 | train_acc=10.446
Epoch 000 [  71/391] |lr=0.1 | train_loss=3.5004 | train_acc=10.497
Epoch 000 [  72/391] |lr=0.1 | train_loss=3.4844 | train_acc=10.514
Epoch 000 [  73/391] |lr=0.1 | train_loss=3.4685 | train_acc=10.477
Epoch 000 [  74/391] |lr=0.1 | train_loss=3.4527 | train_acc=10.515
Epoch 000 [  75/391] |lr=0.1 | train_loss=3.4370 | train_acc=10.542
Epoch 000 [  76/391] |lr=0.1 | train_loss=3.4233 | train_acc=10.557
Epoch 000 [  77/391] |lr=0.1 | train_loss=3.4088 | train_acc=10.582
Epoch 000 [  78/391] |lr=0.1 | train_loss=3.3944 | train_acc=10.567
Epoch 000 [  79/391] |lr=0.1 | train_loss=3.3906 | train_acc=10.542
Epoch 000 [  80/391] |lr=0.1 | train_loss=3.3764 | train_acc=10.635
Epoch 000 [  81/391] |lr=0.1 | train_loss=3.3629 | train_acc=10.629
Epoch 000 [  82/391] |lr=0.1 | train_loss=3.3498 | train_acc=10.671
Epoch 000 [  83/391] |lr=0.1 | train_loss=3.3369 | train_acc=10.693
Epoch 000 [  84/391] |lr=0.1 | train_loss=3.3259 | train_acc=10.677
Epoch 000 [  85/391] |lr=0.1 | train_loss=3.3145 | train_acc=10.653
Epoch 000 [  86/391] |lr=0.1 | train_loss=3.3029 | train_acc=10.629
Epoch 000 [  87/391] |lr=0.1 | train_loss=3.2917 | train_acc=10.596
Epoch 000 [  88/391] |lr=0.1 | train_loss=3.2809 | train_acc=10.574
Epoch 000 [  89/391] |lr=0.1 | train_loss=3.2699 | train_acc=10.569
Epoch 000 [  90/391] |lr=0.1 | train_loss=3.2595 | train_acc=10.599
Epoch 000 [  91/391] |lr=0.1 | train_loss=3.2493 | train_acc=10.577
Epoch 000 [  92/391] |lr=0.1 | train_loss=3.2386 | train_acc=10.615
Epoch 000 [  93/391] |lr=0.1 | train_loss=3.2284 | train_acc=10.685
