
The following have been reloaded with a version change:
  1) GCCcore/11.3.0 => GCCcore/12.3.0
  2) GMP/6.2.1-GCCcore-11.3.0 => GMP/6.2.1-GCCcore-12.3.0
  3) Python/3.10.4-GCCcore-11.3.0 => Python/3.11.3-GCCcore-12.3.0
  4) SQLite/3.38.3-GCCcore-11.3.0 => SQLite/3.42.0-GCCcore-12.3.0
  5) Tcl/8.6.12-GCCcore-11.3.0 => Tcl/8.6.13-GCCcore-12.3.0
  6) XZ/5.2.5-GCCcore-11.3.0 => XZ/5.4.2-GCCcore-12.3.0
  7) binutils/2.38-GCCcore-11.3.0 => binutils/2.40-GCCcore-12.3.0
  8) bzip2/1.0.8-GCCcore-11.3.0 => bzip2/1.0.8-GCCcore-12.3.0
  9) libffi/3.4.2-GCCcore-11.3.0 => libffi/3.4.4-GCCcore-12.3.0
 10) libreadline/8.1.2-GCCcore-11.3.0 => libreadline/8.2-GCCcore-12.3.0
 11) ncurses/6.3-GCCcore-11.3.0 => ncurses/6.4-GCCcore-12.3.0
 12) zlib/1.2.12-GCCcore-11.3.0 => zlib/1.2.13-GCCcore-12.3.0

==> Preparing data..
Files already downloaded and verified
Files already downloaded and verified
==> Building model..

Epoch: 0
Epoch 000 [  62/391] |lr=0.1 | train_loss=240.2442 | train_acc=10.887
Epoch 000 [  63/391] |lr=0.1 | train_loss=243.5507 | train_acc=11.012
Epoch 000 [  64/391] |lr=0.1 | train_loss=247.6129 | train_acc=10.999
Epoch 000 [  65/391] |lr=0.1 | train_loss=249.9600 | train_acc=10.962
Epoch 000 [  66/391] |lr=0.1 | train_loss=252.3676 | train_acc=10.938
Epoch 000 [  67/391] |lr=0.1 | train_loss=254.7244 | train_acc=10.914
Epoch 000 [  68/391] |lr=0.1 | train_loss=257.2710 | train_acc=10.892
Epoch 000 [  69/391] |lr=0.1 | train_loss=259.6199 | train_acc=10.824
Epoch 000 [  70/391] |lr=0.1 | train_loss=262.2209 | train_acc=10.893
Epoch 000 [  71/391] |lr=0.1 | train_loss=264.5370 | train_acc=10.860
Epoch 000 [  72/391] |lr=0.1 | train_loss=266.8600 | train_acc=10.840
Epoch 000 [  73/391] |lr=0.1 | train_loss=269.1332 | train_acc=10.809
Epoch 000 [  74/391] |lr=0.1 | train_loss=271.4878 | train_acc=10.769
Epoch 000 [  75/391] |lr=0.1 | train_loss=274.2834 | train_acc=10.781
Epoch 000 [  76/391] |lr=0.1 | train_loss=276.6552 | train_acc=10.845
Epoch 000 [  77/391] |lr=0.1 | train_loss=279.0925 | train_acc=10.866
Epoch 000 [  78/391] |lr=0.1 | train_loss=281.9317 | train_acc=10.887
Epoch 000 [  79/391] |lr=0.1 | train_loss=284.4027 | train_acc=10.898
Epoch 000 [  80/391] |lr=0.1 | train_loss=286.8115 | train_acc=10.908
Epoch 000 [  81/391] |lr=0.1 | train_loss=289.1454 | train_acc=10.909
Epoch 000 [  82/391] |lr=0.1 | train_loss=291.4554 | train_acc=10.880
Epoch 000 [  83/391] |lr=0.1 | train_loss=293.8215 | train_acc=10.862
Epoch 000 [  84/391] |lr=0.1 | train_loss=296.1242 | train_acc=10.900
